DATE,LOL,HON,DO2,GW2,XIV,WOW,ESO,EQN,WIS
2014-06-08 14:30,66,1,27,5,8,10,18,1,39
2014-06-08 14:40,90,1,31,6,11,8,12,1,23
2014-06-08 14:50,71,1,31,3,4,44,6,1,39
2014-06-08 15:00,86,1,31,2,16,13,8,1,34
2014-06-08 15:10,118,1,32,8,5,11,11,1,34
2014-06-08 15:20,171,1,36,8,8,9,10,1,30
2014-06-08 15:30,67,1,30,4,9,11,8,1,56
2014-06-08 15:40,123,2,29,5,13,11,13,1,28
2014-06-08 15:50,102,2,26,5,12,6,14,1,33
2014-06-08 16:00,72,1,34,10,7,9,12,2,40
2014-06-08 16:10,74,2,26,7,10,19,9,1,47
2014-06-08 16:20,81,1,34,5,13,11,17,1,35
2014-06-08 16:40,63,1,25,3,6,7,0,1,73
2014-06-08 16:50,65,1,28,10,7,11,9,1,39
2014-06-08 17:00,56,1,32,7,6,8,9,2,51
2014-06-08 17:10,56,1,43,5,10,10,4,1,40
2014-06-08 17:20,83,1,31,2,12,11,11,1,36
2014-06-08 17:30,56,1,38,7,9,9,15,2,42
2014-06-08 17:40,54,1,37,3,11,5,12,1,40
2014-06-08 17:50,72,1,22,10,14,7,15,1,42
2014-06-08 18:10,114,2,34,11,16,20,13,1,61
2014-06-08 18:20,66,1,27,6,10,6,16,2,79
2014-06-08 18:40,52,1,25,9,7,11,14,1,45
2014-06-08 18:50,53,1,31,2,12,6,8,1,34
2014-06-08 19:00,66,1,22,3,11,13,15,1,47
2014-06-08 19:10,78,2,42,5,9,12,16,1,47
2014-06-08 19:20,87,2,52,11,10,18,15,1,49
2014-06-08 19:30,76,1,47,6,20,25,21,1,46
2014-06-08 19:40,61,1,59,10,23,19,19,1,39
2014-06-08 19:50,65,2,32,9,17,21,18,2,50
2014-06-08 20:00,49,1,43,3,14,12,15,1,45
2014-06-08 20:10,42,1,34,4,15,6,10,1,43
2014-06-08 20:20,62,1,36,12,18,22,15,2,55
2014-06-08 20:30,57,2,37,6,13,17,21,1,41
2014-06-08 20:40,67,1,35,8,30,15,12,1,36
2014-06-08 20:50,65,1,45,4,26,12,8,1,40
2014-06-08 21:00,53,1,49,5,23,9,13,3,51
2014-06-08 21:10,33,2,40,4,22,10,19,1,43
2014-06-08 21:20,44,1,49,8,9,13,16,1,38
2014-06-08 21:30,50,2,28,3,24,8,20,2,40
2014-06-08 21:40,41,1,18,4,18,8,10,1,24
2014-06-08 21:50,53,1,24,3,18,8,15,1,27
2014-06-08 22:00,34,1,48,5,15,4,8,1,22
2014-06-08 22:10,40,1,49,4,16,9,11,1,32
2014-06-08 22:20,80,1,41,7,19,11,11,2,27
2014-06-08 22:40,56,1,32,2,20,6,12,2,45
2014-06-08 22:50,57,1,36,8,14,8,12,1,25
2014-06-08 23:00,56,1,38,4,15,5,11,1,33
2014-06-08 23:10,46,1,36,7,13,10,12,1,26
2014-06-08 23:20,48,2,71,6,25,9,10,1,21
2014-06-08 23:30,43,1,32,6,19,7,17,1,23
2014-06-08 23:40,31,2,26,6,12,13,9,1,28
2014-06-08 23:50,42,1,30,13,15,12,9,1,18
2014-06-09 00:00,42,2,30,6,19,5,13,1,22
2014-06-09 00:10,42,3,29,10,29,9,7,1,24
2014-06-09 00:20,57,1,23,4,22,10,11,1,29
2014-06-09 00:30,22,1,18,3,10,3,11,1,7
2014-06-09 00:40,47,1,29,4,14,4,4,1,23
2014-06-09 00:50,41,1,33,3,24,9,9,1,27
2014-06-09 01:00,32,1,25,3,13,25,10,1,24
2014-06-09 01:10,44,1,25,3,9,5,4,1,22
2014-06-09 01:20,37,1,31,4,10,5,4,1,27
2014-06-09 01:30,31,1,25,5,7,7,3,1,21
2014-06-09 01:40,41,2,25,3,12,9,3,1,18
2014-06-09 01:50,37,1,47,4,10,6,7,1,26
2014-06-09 02:00,28,2,34,3,7,8,5,2,20
2014-06-09 02:10,50,2,30,3,7,11,5,2,17
2014-06-09 02:20,63,1,30,2,12,8,5,1,22
2014-06-09 02:30,34,1,35,2,9,12,5,1,28
2014-06-09 02:40,52,1,34,5,9,3,7,2,40
2014-06-09 02:50,46,1,33,5,9,5,3,1,31
2014-06-09 03:00,39,1,31,4,11,7,3,1,29
2014-06-09 03:10,58,2,28,6,13,9,3,2,30
2014-06-09 03:20,47,1,25,4,6,9,5,1,31
2014-06-09 03:30,46,1,55,2,7,12,7,1,26
2014-06-09 03:40,54,1,40,1,6,6,3,2,20
2014-06-09 03:50,43,2,47,6,8,29,3,1,32
2014-06-09 04:00,41,1,40,3,12,22,3,1,30
2014-06-09 04:10,71,1,41,1,8,25,3,1,23
2014-06-09 04:20,46,1,36,2,9,20,3,1,17
2014-06-09 04:30,43,1,34,7,4,19,4,1,26
2014-06-09 04:40,93,1,25,9,5,21,3,1,30
2014-06-09 04:50,61,1,71,5,12,17,2,1,38
2014-06-09 05:00,52,1,30,3,19,18,4,1,35
2014-06-09 05:10,88,2,37,5,10,20,8,1,33
2014-06-09 05:20,57,2,38,8,11,24,15,1,29
2014-06-09 05:30,43,1,29,2,7,12,8,2,37
2014-06-09 05:40,97,2,31,2,7,13,5,1,20
2014-06-09 05:50,73,2,38,5,9,20,11,1,23
2014-06-09 06:00,41,1,37,3,7,18,8,1,31
2014-06-09 06:10,87,2,51,5,9,19,9,1,27
2014-06-09 06:20,72,2,46,6,10,16,9,1,35
2014-06-09 06:30,49,1,49,13,7,8,6,1,29
2014-06-09 06:40,143,1,32,5,9,10,9,1,19
2014-06-09 06:50,83,1,42,4,8,8,4,1,37
2014-06-09 07:00,55,1,54,2,72,12,9,1,54
2014-06-09 07:10,115,1,47,3,38,11,9,1,33
2014-06-09 07:20,96,1,52,4,23,4,10,1,29
2014-06-09 07:30,53,1,53,5,14,8,8,1,32
2014-06-09 07:40,127,1,49,5,18,9,13,1,37
2014-06-09 07:50,96,1,73,7,16,13,11,1,31
2014-06-09 08:00,58,1,52,5,28,8,11,1,33
2014-06-09 08:10,196,2,59,11,17,3,7,3,32
2014-06-09 08:20,99,1,69,8,19,4,7,1,32
2014-06-09 08:30,83,2,86,6,22,8,5,2,41
2014-06-09 08:40,177,1,81,4,11,11,9,1,31
2014-06-09 08:50,75,1,83,11,22,7,12,1,25
2014-06-09 09:00,73,1,58,3,20,8,11,2,32
2014-06-09 09:10,90,1,61,4,21,11,16,1,46
2014-06-09 09:20,85,1,58,5,12,9,15,2,38
2014-06-09 09:30,87,1,68,5,7,8,9,2,49
2014-06-09 09:40,59,1,46,6,14,9,15,1,37
2014-06-09 09:50,61,1,55,8,16,12,9,1,40
2014-06-09 10:00,74,1,74,5,8,13,15,2,51
2014-06-09 10:10,55,1,51,5,16,11,40,1,49
2014-06-09 10:20,178,3,62,13,18,8,27,2,33
2014-06-09 10:30,67,1,80,7,8,9,21,2,29
2014-06-09 10:40,93,1,98,9,6,9,13,1,100
2014-06-09 10:50,62,1,119,6,14,4,16,1,80
2014-06-09 11:00,70,1,157,5,12,13,19,1,68
2014-06-09 11:10,60,2,87,3,13,11,22,1,50
2014-06-09 11:20,121,1,71,5,14,16,12,1,54
2014-06-09 11:40,104,1,89,7,16,27,23,3,118
2014-06-09 11:50,63,1,67,3,13,12,17,2,48
2014-06-09 12:00,72,1,55,2,11,14,24,2,54
2014-06-09 12:10,70,2,46,5,11,10,20,1,48
2014-06-09 12:20,160,3,70,3,17,21,22,9,59
2014-06-09 12:40,93,1,33,4,18,31,19,7,76
2014-06-09 12:50,86,2,121,6,16,18,15,1,37
2014-06-09 13:00,92,2,54,13,12,6,12,1,43
2014-06-09 13:10,75,1,52,3,11,13,15,3,40
2014-06-09 13:20,94,1,85,5,14,12,17,1,41
2014-06-09 13:30,35,1,29,2,7,3,8,1,22
2014-06-09 13:40,86,2,40,5,10,14,12,1,34
2014-06-09 13:50,72,1,40,10,12,48,10,3,45
2014-06-09 14:00,75,2,61,5,15,14,16,4,58
2014-06-09 14:10,68,3,38,7,19,16,16,4,32
2014-06-09 14:20,64,3,27,3,23,13,16,3,41
2014-06-09 14:30,102,1,35,6,38,9,13,3,30
2014-06-09 14:40,575,3,352,6,5,13,10,4,38
2014-06-09 14:50,108,1,62,4,16,12,11,3,55
2014-06-09 15:00,96,1,35,4,11,5,8,4,39
2014-06-09 15:10,86,1,70,6,13,16,18,3,53
2014-06-09 15:20,114,1,56,7,28,10,13,1,33
2014-06-09 15:30,100,1,58,5,32,14,7,3,46
