DATE,LOL,HON,DO2,GW2,XIV,WOW,ESO,EQN,WIS
2014-06-08 12:40,113,1,76,7,14,11,12,3,39
2014-06-08 12:50,79,1,72,4,13,6,14,1,52
2014-06-08 13:00,73,2,83,8,5,30,11,1,39
2014-06-08 13:10,131,3,66,5,17,21,12,1,37
2014-06-08 13:20,84,1,56,14,13,14,8,1,42
2014-06-08 13:30,102,1,63,8,3,7,10,1,42
2014-06-08 13:40,92,1,40,6,4,7,6,1,53
2014-06-08 13:50,89,1,48,6,5,15,10,1,44
2014-06-08 14:00,118,1,58,4,11,15,13,4,80
2014-06-08 14:10,125,1,43,5,11,12,11,2,50
2014-06-08 14:20,104,1,29,5,16,7,17,1,65
2014-06-08 14:30,78,1,29,5,12,10,18,1,45
2014-06-08 14:40,95,1,35,8,30,8,12,1,27
2014-06-08 14:50,83,1,34,3,5,44,6,1,45
2014-06-08 15:00,92,1,35,2,16,16,8,1,38
2014-06-08 15:10,127,1,34,11,5,12,11,1,39
2014-06-08 15:20,182,1,39,8,8,9,12,1,30
2014-06-08 15:30,76,1,38,4,9,13,8,1,63
2014-06-08 15:40,135,3,30,9,15,14,15,1,42
2014-06-08 15:50,107,2,28,5,13,6,14,1,45
2014-06-08 16:00,77,1,40,14,8,9,14,2,47
2014-06-08 16:10,81,2,34,7,10,22,10,1,51
2014-06-08 16:20,84,1,41,5,15,11,18,1,36
2014-06-08 16:40,80,1,27,4,6,7,6,1,90
2014-06-08 16:50,66,1,38,10,9,12,11,1,51
2014-06-08 17:00,60,1,36,8,6,8,9,2,55
2014-06-08 17:10,63,1,50,5,11,10,4,1,45
2014-06-08 17:20,93,1,35,2,12,12,14,1,39
2014-06-08 17:30,64,1,50,7,9,12,17,2,45
2014-06-08 17:40,57,1,48,4,11,5,14,1,44
2014-06-08 17:50,81,1,24,10,18,8,15,1,47
2014-06-08 18:10,67,2,40,11,19,21,14,1,69
2014-06-08 18:20,84,1,45,6,14,6,19,2,138
2014-06-08 18:30,68,1,57,3,7,7,20,1,80
2014-06-08 18:40,55,1,26,10,7,11,16,1,54
2014-06-08 18:50,60,1,35,2,14,6,9,1,42
2014-06-08 19:00,69,1,47,3,14,16,20,1,56
2014-06-08 19:10,82,2,66,5,9,12,17,1,53
2014-06-08 19:20,96,2,108,12,10,18,16,1,54
2014-06-08 19:30,80,1,57,6,20,25,22,1,49
2014-06-08 19:40,66,1,70,10,30,21,20,1,43
2014-06-08 19:50,72,2,47,10,23,21,22,2,61
2014-06-08 20:00,58,1,60,3,14,14,15,1,52
2014-06-08 20:10,45,1,42,6,18,6,12,1,48
2014-06-08 20:20,64,1,40,13,21,24,15,2,65
2014-06-08 20:30,61,2,38,6,16,17,22,1,46
2014-06-08 20:40,76,1,37,8,31,16,13,1,42
2014-06-08 20:50,68,1,52,4,27,12,8,1,43
2014-06-08 21:00,56,1,52,5,25,9,14,3,54
2014-06-08 21:10,34,2,45,4,23,10,21,1,46
2014-06-08 21:20,46,1,58,8,9,14,17,1,46
2014-06-08 21:30,52,2,34,3,24,8,22,2,49
2014-06-08 21:40,46,1,18,4,21,8,10,1,25
2014-06-08 21:50,57,1,27,4,19,8,15,1,30
2014-06-08 22:00,37,1,66,6,15,4,8,1,28
2014-06-08 22:10,43,1,65,6,20,9,11,1,35
2014-06-08 22:20,84,1,63,7,20,11,11,2,32
2014-06-08 22:40,63,1,39,2,21,6,14,2,54
2014-06-08 22:50,60,1,46,10,14,9,16,1,28
2014-06-08 23:00,60,1,44,4,18,5,11,1,36
2014-06-08 23:10,51,1,79,8,13,11,14,1,29
2014-06-08 23:20,52,2,76,6,30,9,12,1,31
2014-06-08 23:30,48,1,39,6,19,7,19,1,25
2014-06-08 23:40,31,3,28,6,13,13,9,1,33
2014-06-08 23:50,45,1,31,13,15,13,9,1,20
2014-06-09 00:00,47,2,34,7,21,5,13,1,26
2014-06-09 00:10,59,17,42,12,30,9,7,1,27
2014-06-09 00:20,62,1,23,20,23,10,11,1,30
2014-06-09 00:30,25,1,18,5,11,3,14,1,7
